case,cavities,material_type,molde_area,costs,complexity,subcontracting,num_peca,start_timestamp,time:timestamp,activity,org:resource
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-03 07:40:14,2018-03-03 09:13:13,Fresagem,User 72
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-03 07:57:34,2018-03-03 10:53:01,Bancada,User 93
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-03 08:06:07,2018-03-03 09:14:09,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-03 08:12:27,2018-03-03 09:48:05,Retificacao,User 129
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-03 08:13:20,2018-03-03 10:35:14,Torno,User 51
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-05 07:53:05,2018-03-05 12:19:15,Bancada,User 93
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-05 08:17:28,2018-03-05 12:44:47,Fresagem,User 119
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-05 08:35:57,2018-03-05 12:41:23,Retificacao,User 129
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-05 13:41:49,2018-03-05 13:47:45,Fresagem,User 119
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-05 13:42:07,2018-03-05 15:33:19,Retificacao,User 129
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-06 10:03:52,2018-03-11 00:28:53,Torno,User 51
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-06 14:30:40,2018-03-11 21:07:20,Bancada,User 137
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-08 08:12:51,2018-03-08 09:49:04,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-08 09:42:44,2018-03-13 22:09:20,Retificacao,User 128
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-08 17:00:23,2018-03-14 09:46:57,Torno,User 51
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-09 08:23:54,2018-03-09 08:32:44,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-09 08:25:23,2018-03-15 15:53:38,Retificacao,User 128
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-09 15:28:54,2018-03-09 17:43:32,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-09 16:56:40,2018-03-09 17:00:48,Polimento,User 106
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-10 08:08:36,2018-03-10 11:07:44,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-12 08:26:19,2018-03-18 23:30:05,Bancada,User 136
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-12 11:38:40,2018-03-19 07:10:20,Polimento,User 136
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-12 13:34:23,2018-03-12 16:04:09,Bancada,User 15
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-13 07:59:56,2018-03-13 11:10:57,Polimento,User 136
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-13 08:03:57,2018-03-21 08:09:07,Bancada,User 10
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-17 08:34:19,2018-03-17 09:46:46,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-19 08:00:40,2018-03-29 01:43:49,Bancada,User 92
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-19 16:41:01,2018-03-19 17:07:02,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-19 17:00:47,2018-03-30 01:37:18,Bancada,User 76
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-20 08:06:06,2018-03-20 12:17:20,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-20 13:30:18,2018-04-01 07:39:21,Bancada,User 118
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-21 11:07:14,2018-03-21 12:36:00,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-21 12:15:09,2018-04-03 05:29:42,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-21 13:36:10,2018-03-21 14:44:02,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-21 13:47:15,2018-04-04 14:41:50,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-22 08:05:58,2018-04-05 10:24:16,Fresagem,User 71
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-22 09:51:51,2018-03-22 12:34:41,Bancada,User 118
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-22 12:26:03,2018-03-22 12:36:15,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-22 13:30:19,2018-04-06 17:18:41,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-22 13:36:01,2018-03-22 13:51:44,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-22 13:36:24,2018-03-22 20:01:48,Bancada,User 76
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-22 16:07:13,2018-03-22 17:03:17,Polimento,User 136
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-22 16:08:12,2018-04-07 13:52:30,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-23 08:18:19,2018-03-23 09:29:52,Polimento,User 136
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-23 08:51:20,2018-03-23 12:30:49,Bancada,User 10
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-23 12:35:18,2018-03-23 12:41:57,Retificacao,User 128
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-23 13:30:18,2018-04-09 02:47:31,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-23 13:42:02,2018-03-23 16:52:37,Retificacao,User 128
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-23 15:07:00,2018-03-23 18:13:46,Fresagem,User 71
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-24 07:01:06,2018-04-10 07:48:02,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-24 08:19:22,2018-03-24 10:17:15,Prensa,User 11
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-24 10:17:15,2018-04-11 14:42:30,Bancada,User 137
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-26 11:53:03,2018-03-26 12:36:05,Fresagem,User 71
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-26 13:30:53,2018-04-14 10:22:34,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-26 13:36:17,2018-03-26 13:38:44,Fresagem,User 71
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-26 13:44:05,2018-04-15 17:15:53,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-27 08:06:05,2018-03-27 09:06:27,Fresagem,User 71
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-27 11:10:03,2018-04-17 20:11:13,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-27 18:14:46,2018-03-27 19:07:48,Fresagem,User 71
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-28 08:00:03,2018-04-19 17:01:18,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-28 08:07:06,2018-03-28 10:30:50,Fresagem,User 71
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-28 08:16:07,2018-04-20 17:55:07,Bancada,User 10
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-28 17:45:27,2018-03-28 18:53:03,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-03-28 20:48:39,2018-04-23 21:38:02,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-02 08:09:11,2018-04-28 10:10:44,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-02 09:08:28,2018-04-02 09:09:42,Trabalho Interno,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-02 13:30:05,2018-04-29 10:05:15,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-02 15:08:56,2018-04-02 16:57:10,Polimento,User 13
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-03 08:00:59,2018-05-01 18:18:54,Bancada,User 76
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-03 17:22:56,2018-04-03 18:34:28,Fresagem,User 71
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-04 08:00:49,2018-05-02 23:22:38,Bancada,User 10
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-04 08:05:03,2018-04-04 12:21:18,Fresagem,User 71
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-04 08:05:29,2018-05-03 09:35:14,Bancada,User 133
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-04 10:16:53,2018-05-03 12:54:44,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-04 13:30:58,2018-04-04 17:01:04,Bancada,User 10
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-04 13:36:16,2018-04-04 13:48:34,Fresagem,User 74
3047,2,PC-29,Automovel,152000,3,0,900,2018-04-05 08:01:03,2018-05-12 15:12:01,Bancada,User 10
3047,2,PC-29,Automovel,152000,3,0,900,2018-06-07 14:28:26,2018-07-14 23:00:01,Trabalho Interno,User 26
3047,2,PC-29,Automovel,152000,3,0,900,2018-06-22 09:15:49,2018-06-22 10:56:39,Estrutura,User 26
3047,2,PC-29,Automovel,152000,3,0,900,2018-07-03 12:04:06,2018-07-03 12:32:14,Trabalho Interno,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-07-03 13:31:38,2018-07-03 14:23:32,Preliminares,User 70
3047,2,PC-29,Automovel,152000,3,0,900,2018-07-10 16:10:38,2018-08-18 10:19:35,Bancada,User 118
