case,cavities,material_type,molde_area,costs,complexity,subcontracting,num_peca,start_timestamp,time:timestamp,activity,org:resource
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2014-12-22 13:50:00,2014-12-23 20:38:22,Erosao,User 40
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2015-01-28 10:41:08,2015-01-29 19:30:23,Fresagem,User 71
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2015-04-02 18:51:20,2015-04-02 19:42:37,Desenho Eletrodos,User 43
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2015-04-06 21:10:54,2015-04-06 22:53:37,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2015-04-07 18:57:00,2015-04-09 16:48:13,Erosao,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2015-06-08 13:52:59,2015-06-10 12:19:31,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2015-06-15 15:09:34,2015-06-17 19:35:08,Fresagem,User 74
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2015-06-29 22:23:16,2015-06-29 22:33:59,CAM,User 50
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2015-06-30 02:21:36,2015-07-02 08:21:18,Maquinacao,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2015-06-30 22:59:49,2015-06-30 23:57:21,CAM,User 50
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2015-06-30 23:58:50,2015-07-01 00:13:53,Desenho Eletrodos,User 50
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2015-07-01 04:10:05,2015-07-03 15:23:45,Maquinacao,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,82,2015-07-05 13:37:05,2015-07-08 05:27:17,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,413,2014-12-11 10:02:13,2014-12-11 13:32:02,Retificacao,User 65
2696,1,PA6.6-GF40,Automovel,41000,3,0,56,2014-12-11 15:20:34,2014-12-11 17:09:14,Retificacao,User 65
2696,1,PA6.6-GF40,Automovel,41000,3,0,56,2015-07-09 11:35:56,2015-07-09 17:07:48,Fresagem,User 74
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-11 16:33:13,2014-12-12 10:17:11,Maquinacao,User 80
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-12 05:33:36,2014-12-12 08:15:42,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-12 06:04:28,2014-12-13 00:52:17,Maquinacao,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-12 07:54:34,2014-12-13 05:42:00,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-12 10:41:00,2014-12-13 08:30:27,Maquinacao,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-12 11:08:16,2014-12-12 11:17:51,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-12 11:11:57,2014-12-13 09:02:18,Maquinacao,User 80
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-12 12:24:12,2014-12-13 11:28:02,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-12 13:10:56,2014-12-12 13:22:57,Maquinacao,User 46
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-12 13:23:47,2014-12-13 15:19:09,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-12 14:01:59,2014-12-13 16:12:06,Maquinacao,User 46
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-12 14:35:23,2014-12-13 17:33:44,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-15 07:09:13,2014-12-15 10:40:03,Maquinacao,User 46
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-15 08:36:41,2014-12-17 02:27:37,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-16 14:01:33,2014-12-16 15:43:33,Torno,User 51
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-16 15:03:47,2014-12-18 11:53:12,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-16 15:43:33,2014-12-16 18:06:43,Torno,User 51
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-16 16:12:36,2014-12-18 20:47:01,Maquinacao de Eletrodos,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-18 05:33:34,2014-12-18 12:29:26,CAM,User 50
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-18 14:11:16,2014-12-21 05:45:37,Maquinacao,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-18 18:41:14,2014-12-18 19:07:52,Fresagem,User 71
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-18 18:52:38,2014-12-21 10:48:53,Maquinacao,No User
2696,1,PA6.6-GF40,Automovel,41000,3,0,100,2014-12-18 19:26:37,2014-12-18 19:44:00,Maquinacao de Eletrodos,No User
